Classifier,feature selection,sampling,cost sensitive,precision,recall,auc,kappa
rf,false,false,false,0.9528444732857452,0.9319299730258634,0.8818700884844395,0.6591809718548203
rf,false,false,true,0.8202483840511293,0.9626662120695534,0.6194910007716188,0.30288965062113865
rf,false,false,false,0.97166968053044,0.9771974819305199,0.9699519726620274,0.8380577821897144
rf,false,false,false,0.9454537495075078,0.9352994673249317,0.9264847227580172,0.7556853471636302
rf,false,false,true,0.9085259612033918,0.9885616784630941,0.7882907790693707,0.6690981116508574
rf,false,false,false,0.9600989282769992,0.9810462471569371,0.9832105028203936,0.8771047338696728
rf,false,false,false,0.8431364357924639,0.9905766871165644,0.8173831775399483,0.5824825023933591
rf,false,false,true,0.9188136608747753,0.9732903157560692,0.7609998622910238,0.5971988224041741
rf,false,false,true,0.9178334403767929,0.9995803217533225,0.7654227939983026,0.6543435596388236
rf,false,false,true,0.832283778397768,0.8899590862598022,0.6373772039486145,0.3000192790170161
rf,false,false,true,0.866738685906092,0.9728898705123208,0.7496749873537749,0.5757005212090324
rf,false,false,true,0.7929649416994892,0.9979877300613497,0.6500848219181617,0.38332828245057055
rf,false,false,true,0.8362511319046182,0.9445959768155472,0.6550465264194695,0.3680376923604817
rf,false,false,true,0.8625268289133835,0.9986521775756044,0.7586254518451271,0.6155928672707777
rf,false,false,true,0.9351361227845788,0.9702982810920121,0.8458606236744393,0.7351056470421019
rf,false,false,true,0.9347668017035421,0.9519225683609245,0.8016620890652805,0.6277942288104831
rf,false,false,true,0.9485402355250245,0.9773129423660263,0.8789258931029713,0.7957377249834209
rf,false,false,false,0.9377247706422018,0.9405204460966543,0.9262836485310092,0.7662187056038778
rf,false,false,true,0.948701743298046,0.952715925318665,0.8411928224983556,0.6885733308995123
rf,false,false,true,0.9483411467724486,0.9810212170669154,0.8505496901162618,0.7563295162758331
rf,false,false,true,0.8388798701298701,0.9890316169163385,0.7263004462297107,0.5408923947038571
rf,false,false,false,0.930365597054182,0.9531476304355149,0.9148040822218872,0.7674467423427067
rf,false,false,true,0.8226361031518624,0.9863558282208589,0.7084118783585893,0.5003806090484351
rf,false,false,true,0.8956612818756798,0.962842665973756,0.8038781468064558,0.6614846803480334
rf,false,false,true,0.9662016922021496,0.9851247377010959,0.9023083385623213,0.8394558449626699
rf,false,false,false,0.9164539007092198,0.9806332149470297,0.9412534978574353,0.7949375107466358
rf,false,false,true,0.9025854108956602,0.9881223148850139,0.8327872720921885,0.7361961634743099
rf,false,false,true,0.8386535113174696,0.9928834355828221,0.7406583318818422,0.5691360816439344
rf,false,false,true,0.8466213283171755,0.9853817912358113,0.7386404690049251,0.5623654257696797
rf,false,false,true,0.9164031291611185,0.9537482135897103,0.8391581758927438,0.7096318137605575
rf,false,false,true,0.8326041324195139,0.9993625352882252,0.7420724873841297,0.5740727868855454
rf,false,false,true,0.9322739161448839,0.9908600791845674,0.8865765364075704,0.8256748590075451
rf,false,false,true,0.8704888076747374,0.9818911259155655,0.7846780232010008,0.6445857111381464
rf,false,false,true,0.896169557356191,0.9851301115241635,0.8314071719662186,0.7287905671569008
rf,false,false,true,0.8748793145063963,0.9766917039981138,0.7895633766850889,0.6488274176185003
rf,false,false,true,0.8629778459260826,0.9908933612603588,0.7937264346583572,0.6644879596838672
rf,false,false,true,0.902509924045885,0.9725487554313045,0.836768098356051,0.7255101354642413
rf,false,false,true,0.8895050150860312,0.9933521537200619,0.8384679348813588,0.7449589645156383
sgd,false,false,false,0.8484879548949257,0.7055063075349471,0.6366712824224443,0.22688203513738517
sgd,false,false,false,0.8321937321937322,0.9229651162790697,0.5763138424712115,0.18415536676969574
sgd,false,false,false,0.8399378054198134,1.0,0.5,0.0
sgd,false,false,true,0.8484879548949257,0.7055063075349471,0.6366712824224443,0.22688203513738517
sgd,false,false,false,0.8396961509847684,1.0,0.5,0.0
sgd,false,false,false,0.7599473424387033,1.0,0.5,0.0
sgd,false,false,true,0.8321937321937322,0.9229651162790697,0.5763138424712115,0.18415536676969574
sgd,false,false,false,0.7515193719929096,1.0,0.5,0.0
sgd,false,false,false,0.7281206446771255,1.0,0.5,0.0
sgd,false,false,true,0.8399378054198134,1.0,0.5,0.0
sgd,false,false,true,0.8396961509847684,1.0,0.5,0.0
sgd,false,false,true,0.9349260823653643,0.6037333787930447,0.7297906660047094,0.3212777191129883
sgd,false,false,true,0.7599473424387033,1.0,0.5,0.0
sgd,false,false,true,0.7281206446771255,1.0,0.5,0.0
sgd,false,false,true,0.935454065469905,0.604074326628026,0.7305459352438375,0.32233368532206974
sgd,false,false,true,0.7515193719929096,1.0,0.5,0.0
sgd,false,false,true,0.8865240282289683,0.5001263902932255,0.6175756199438923,0.13962923196551036
sgd,false,false,true,0.891324200913242,0.7743163907547469,0.639447953911928,0.21809220851919814
sgd,false,false,true,0.8673767752715121,0.5248988877654196,0.5963495223551136,0.11896929321000019
sgd,false,false,false,0.7384887197608045,1.0,0.5,0.0
sgd,false,false,true,0.9006271416564298,0.7367641614216957,0.6550876038859796,0.22372571889902107
sgd,false,false,true,0.9063028649386085,0.7744462578689671,0.6775260112012154,0.27138400668829293
sgd,false,false,true,0.7384887197608045,1.0,0.5,0.0
sgd,false,false,false,0.7400049850448654,1.0,0.5,0.0
sgd,false,false,true,0.8061589506972886,0.7631901840490798,0.6358669111622897,0.2601015770239368
sgd,false,false,true,0.9001299826689775,0.539820709367286,0.6751064062328616,0.24431292161127902
sgd,false,false,true,0.9106148425957495,0.7472604336675216,0.6815198113623392,0.2630456312013326
sgd,false,false,false,0.7194365582004805,1.0,0.5,0.0
sgd,false,false,true,0.8853597376711888,0.5799848369977255,0.676425539517971,0.2615388905672359
sgd,false,false,true,0.7999002493765586,0.7871411042944785,0.62990073090644,0.25637029521180493
sgd,false,false,true,0.7400049850448654,1.0,0.5,0.0
sgd,false,false,true,0.8960306406685237,0.5572300896453164,0.6762706521711638,0.2501269890693407
sgd,false,false,true,0.7194365582004805,1.0,0.5,0.0
sgd,false,false,true,0.8819462065465618,0.5855867239491197,0.6742583301274261,0.260060204376633
sgd,false,false,true,0.8419104260225756,0.5106187198645515,0.6199284223997947,0.1765136046111223
sgd,false,false,true,0.8381119092171184,0.5110603997202694,0.6161475992988625,0.1713255495578111
sgd,false,false,true,0.8068069131605043,0.7673212300852168,0.6221804118022671,0.23379832461072556
sgd,false,false,true,0.8077389524747972,0.6469659715265762,0.62604389492496,0.21813027586104333
sgd,false,false,true,0.8254600814937536,0.6209370473912897,0.6236216250282113,0.20122040945026867
sgd,false,false,true,0.793417104276069,0.7705127037610418,0.6280367675417647,0.25041943738585865
mlp,false,true,false,0.8996050032916393,0.6988578247528128,0.7506412959606654,0.3393038109595181
mlp,false,true,false,0.9160571525769688,0.6806749241658241,0.7963350683043163,0.30107534544734066
mlp,false,true,false,0.907989451927874,0.6738245094409478,0.7495697897303865,0.2038571236560658
mlp,false,true,false,0.9097700591830795,0.8745162042434134,0.8034785535941741,0.38830703429978064
mlp,false,true,false,0.8472830850131463,0.5693742331288344,0.7218492900595433,0.23096764901935302
mlp,false,true,false,0.9170470013611979,0.4959941102594084,0.7266833432136512,0.2364156488545698
mlp,false,true,false,0.812817132126733,0.8568781063094937,0.7506358024989443,0.2751610890734177
mlp,false,true,false,0.8855959026299131,0.5664176083035812,0.7458769631923009,0.27078445830136866
mlp,false,true,false,0.9190699935191186,0.3821280608979757,0.7456294474752083,0.18602937836727343
mlp,false,true,false,0.8040334197637569,0.8471602464863552,0.7729155842328629,0.3316097643759438
sgd,false,true,false,0.9349260823653643,0.6037333787930447,0.7297906660047094,0.3212777191129883
sgd,false,true,false,0.8865240282289683,0.5001263902932255,0.6175756199438923,0.13962923196551036
sgd,false,true,false,0.891324200913242,0.7743163907547469,0.639447953911928,0.21809220851919814
sgd,false,true,false,0.9063028649386085,0.7744462578689671,0.6775260112012154,0.27138400668829293
sgd,false,true,false,0.8061589506972886,0.7631901840490798,0.6358669111622897,0.2601015770239368
sgd,false,true,false,0.9001299826689775,0.539820709367286,0.6751064062328616,0.24431292161127902
sgd,false,true,false,0.8853597376711888,0.5799848369977255,0.676425539517971,0.2615388905672359
sgd,false,true,false,0.8419104260225756,0.5106187198645515,0.6199284223997947,0.1765136046111223
sgd,false,true,false,0.8068069131605043,0.7673212300852168,0.6221804118022671,0.23379832461072556
sgd,false,true,false,0.8077389524747972,0.6469659715265762,0.62604389492496,0.21813027586104333
rf,false,true,false,0.8949707129872753,0.7553699284009546,0.7999913267656014,0.37936663976473806
rf,false,true,false,0.9758543547018437,0.7994186046511628,0.9481805831316863,0.5589311686873148
rf,false,true,false,0.9558433912275537,0.8586766805944888,0.8809097515027505,0.5350109288327716
rf,false,true,false,0.9810129804021379,0.8986710188855211,0.9605787769191316,0.6856145139434375
rf,false,true,false,0.8587155103761652,0.899680981595092,0.8273355750807997,0.5242401163301188
rf,false,true,false,0.9558583629210249,0.8627603828331385,0.924322446554106,0.6663499337708286
rf,false,true,false,0.9747052817228256,0.8845505854603656,0.9737422058895333,0.7453409487619218
rf,false,true,false,0.9487785979364626,0.8563068202731053,0.9238031742011527,0.6665166466702269
rf,false,true,false,0.9408292700810207,0.8643942200815117,0.9157750949244683,0.6601543246197549
rf,false,true,false,0.9251981967977615,0.9033482075099414,0.9307090233846248,0.7030804139324166
mlp,false,false,false,0.865365012154003,0.9406750767132629,0.733621344530778,0.4905015484321642
mlp,true,false,false,0.9308457711442786,0.6379133992499147,0.7400563236851078,0.3438468496950425
mlp,false,false,false,0.9615791328868523,0.5171890798786654,0.8037140067025537,0.25017994298992197
mlp,false,false,false,0.9176101088306187,0.6644628973396096,0.7211659371731458,0.2215712290284962
mlp,true,false,false,0.9614484372848685,0.4412917087967644,0.788384852723405,0.19903636451769843
mlp,false,false,false,0.9139650272171107,0.8847283749125671,0.8036315107448725,0.42000915589787674
mlp,true,false,false,0.9182866822618375,0.6021050404612048,0.7367369968912063,0.18538596564907373
mlp,false,false,false,0.8525726079905647,0.5676564417177914,0.7274604065465478,0.2380317623868225
mlp,false,false,false,0.9311012029948683,0.47932094755532456,0.7590418416651411,0.24061315251437182
mlp,true,false,false,0.9086941597607022,0.8641175099090697,0.7832015142404827,0.37076365460652366
mlp,false,false,false,0.9435643564356435,0.4816780389183725,0.7721053313566701,0.26382122197315294
mlp,true,false,false,0.8159869126191684,0.7099386503067485,0.6979097043473773,0.25353277883005865
mlp,true,false,false,0.9102885138813283,0.36208912563336365,0.6611472494877476,0.1507863291359687
mlp,true,false,false,0.940180083801373,0.44419172773987026,0.753226768440137,0.2338426157408744
mlp,false,false,false,0.8693036940176528,0.4893812801354485,0.7358810279155618,0.20135375620502938
mlp,true,false,false,0.8086412125705342,0.7226250506091502,0.6605678850962426,0.2185247105081768
mlp,false,false,false,0.8589496838053341,0.6313449425713227,0.7460430083625458,0.2701760350117851
mlp,true,false,false,0.8460987831066571,0.477752703021321,0.6872216912488435,0.16436070194225297
mlp,false,false,false,0.8718455321059722,0.5893816592295784,0.7438821237777901,0.29298670906123586
mlp,true,false,false,0.8376011047543894,0.6444161126794766,0.7218606026645972,0.27451083913919444
sgd,false,false,false,0.935454065469905,0.604074326628026,0.7305459352438375,0.32233368532206974
sgd,true,false,false,0.9366887417218543,0.6027957722468462,0.7315148451877506,0.3230801036007479
sgd,false,false,false,0.8673767752715121,0.5248988877654196,0.5963495223551136,0.11896929321000019
sgd,false,false,false,0.9006271416564298,0.7367641614216957,0.6550876038859796,0.22372571889902107
sgd,true,false,false,0.8722383396563267,0.4939964610717897,0.5972467264814874,0.11572581422101222
sgd,false,false,false,0.9106148425957495,0.7472604336675216,0.6815198113623392,0.2630456312013326
sgd,true,false,false,0.9123018262091109,0.4808800973184535,0.6191522329500955,0.11889513644921691
sgd,false,false,false,0.7999002493765586,0.7871411042944785,0.62990073090644,0.25637029521180493
sgd,false,false,false,0.8960306406685237,0.5572300896453164,0.6762706521711638,0.2501269890693407
sgd,true,false,false,0.9079060687833725,0.7373746794124505,0.6727909059006562,0.2471929125669959
sgd,false,false,false,0.8819462065465618,0.5855867239491197,0.6742583301274261,0.260060204376633
sgd,true,false,false,0.7952187425292851,0.8162944785276074,0.6266672182333095,0.25909606586335954
sgd,true,false,false,0.8326018378823207,0.5257892685461868,0.5955653225100005,0.1366157287839469
sgd,true,false,false,0.8867085295656725,0.5709712745345801,0.6751671659297104,0.2575168945647463
sgd,false,false,false,0.8381119092171184,0.5110603997202694,0.6161475992988625,0.1713255495578111
sgd,true,false,false,0.7750599225616127,0.46416872170488427,0.5418754428605493,0.06131976218917087
sgd,false,false,false,0.8254600814937536,0.6209370473912897,0.6236216250282113,0.20122040945026867
sgd,true,false,false,0.8020066552384794,0.5357876654653239,0.5796568468252705,0.12194681892065223
sgd,false,false,false,0.793417104276069,0.7705127037610418,0.6280367675417647,0.25041943738585865
sgd,true,false,false,0.7918719619060216,0.726922259660626,0.6185012170101993,0.2227151443437031
rf,false,false,false,0.8571300448430493,0.8146096147289464,0.7843432168328538,0.3289875340814276
rf,true,false,false,0.9229555933025965,0.6483975451755881,0.8133754732894288,0.3398652849058027
rf,false,false,false,0.9744415657166865,0.8794236602628918,0.954394667857021,0.6798916192864763
rf,false,false,false,0.9577624278111199,0.8946950864759083,0.885065374184031,0.6032779625137387
rf,true,false,false,0.9390814558058925,0.6848458038422649,0.815647962997101,0.3515675646353987
rf,false,false,false,0.9808948004836759,0.9456749825134064,0.96523363353362,0.7891482770247437
rf,true,false,false,0.9249717814222164,0.736817051885545,0.7820847345159277,0.29552061381149475
rf,false,false,false,0.8531291028446389,0.9567607361963191,0.8183855321811719,0.5741659984051514
rf,false,false,false,0.9532537258169027,0.8919492442943138,0.9229475499334858,0.7044228321878102
rf,true,false,false,0.9758583690987125,0.8482163674516204,0.9254651730042304,0.5780724054313183
rf,false,false,false,0.9726612370680168,0.9305871451436273,0.9787973233491456,0.8157602518108261
rf,true,false,false,0.8529681688644157,0.8666993865030674,0.8063830646461909,0.472982897662329
rf,true,false,false,0.899551221674331,0.7031310900350786,0.7988835721643852,0.367641797401086
rf,true,false,false,0.9294321895424836,0.7666582427765142,0.8848467710477871,0.5016734197401509
rf,false,false,false,0.9447274677289615,0.9077993301188855,0.9274814275881634,0.7317306023731135
rf,true,false,false,0.8932143962050119,0.6376016783834517,0.796855119072091,0.3349331524784176
rf,false,false,false,0.9383652173913043,0.9086867189868302,0.9128043725740889,0.7178500298640604
rf,true,false,false,0.8764058580791326,0.7296641853885277,0.7949992721497586,0.37831410447872627
rf,false,false,false,0.9230609088746133,0.942142488540813,0.9374723265136469,0.7529463109131451
rf,true,false,false,0.8718159408381265,0.8051786418966093,0.8186317589670141,0.4733103795233379
mlp,true,false,false,0.8719311297693697,0.6992840095465394,0.7450733660922394,0.2796550303480499
mlp,true,false,true,0.7742872228088701,1.0,0.5,0.0
mlp,true,false,false,0.8584725804642817,0.9675176946410515,0.813641736117962,0.38382742654681196
mlp,true,false,false,0.8559925960203609,0.9783678002856085,0.7446863616779098,0.16462787185910838
mlp,true,false,true,0.866479342283276,0.7096829185134674,0.667268359841529,0.2742326601129705
mlp,true,false,true,0.805415585076602,1.0,0.5,0.0
mlp,true,false,true,0.8701367539489028,0.6996249573815206,0.6707189114392983,0.27576868705322855
mlp,true,false,false,0.8637429264349232,0.9964560503613896,0.7999932456928763,0.25660490196281244
mlp,true,false,true,0.8399378054198134,1.0,0.5,0.0
mlp,true,false,false,0.7492642731018246,0.9996564417177914,0.7161701244411759,0.14418707877371467
mlp,true,false,true,0.8191652155559074,0.981041456016178,0.5423125145631504,0.12267455383348255
mlp,true,false,false,0.7700609403193409,0.9795591355939544,0.6632142849127456,0.07597484455868424
mlp,true,false,true,0.8587445748271982,0.9964560503613896,0.5689412640668697,0.20885691757921418
mlp,true,false,true,0.8493889684025102,0.9751011122345804,0.6297163944641382,0.3379361875196495
mlp,true,false,false,0.7752794170980185,0.9904388846769439,0.7505725455225414,0.1698815982921048
mlp,true,false,true,0.8407796368814525,0.9993124239699582,0.5031255430979406,0.010426285671109673
mlp,true,false,true,0.7425363613166625,0.9997546012269939,0.5356948610761678,0.10064123697413646
mlp,true,false,true,0.7599473424387033,1.0,0.5,0.0
mlp,true,false,true,0.8399378054198134,1.0,0.5,0.0
mlp,true,false,true,0.7601873836873516,0.9978940274618819,0.5228960583169282,0.06699835982020803
mlp,true,false,true,0.8635443652849741,0.9947773373746794,0.5856886198353612,0.25278236753168565
mlp,true,false,false,0.7425292393656359,0.9977916007214104,0.6865425585752889,0.030243950098490027
mlp,true,false,true,0.7493468741950914,0.9995092024539878,0.5520679555908214,0.14465514879490082
mlp,true,false,true,0.8635094110503947,0.9947773373746794,0.5855664898890984,0.2524588792160458
