release,method,path,className,loc,wmc,assignmentsQty,mathOperationsQty,qtyTryCatch,qtyReturn,fanin,fanout,age,nAuth,nr,nSmell,buggy
0.9.0,getDetachState,openjpa-kernel/src/main/java/org/apache/openjpa/conf/DetachOptions.java,DetachOptions$FetchGroups,3,1,0,0,0,1,0,0,45,1,3,0,false
0.9.6,reportErrors,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ProductDerivations.java,ProductDerivations,4,2,0,0,0,1,3,0,70,2,10,0,false
0.9.6,setUpdateManager,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,JDBCConfiguration,1,1,0,0,0,0,0,0,168,2,4,0,false
0.9.6,storeFloatField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachManager.java,DetachManager$InstanceDetachFieldManager,4,1,0,0,0,0,0,2,185,1,11,0,false
0.9.0,flush,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/PCState.java,PCState,3,1,0,0,0,1,1,0,45,1,4,0,false
0.9.0,getJoinIterator,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SelectImpl.java,SelectImpl,4,3,0,0,0,2,1,2,37,2,6,1,false
0.9.0,loadSubclasses,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,JDBCStoreManager,17,5,1,0,1,2,8,6,37,3,9,2,false
0.9.6,getOperator,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java,Abs,3,1,0,0,0,1,0,0,168,1,3,0,false
0.9.0,getTimeout,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryKey.java,QueryKey,3,1,0,0,0,1,1,0,45,2,4,0,false
0.9.0,generateIdentityValue,openjpa-kernel/src/main/java/org/apache/openjpa/util/ImplHelper.java,ImplHelper,3,1,0,0,0,1,3,1,45,3,10,0,false
0.9.6,replaceFlags,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DetachedStateManager.java,DetachedStateManager,3,1,0,0,0,1,0,0,185,2,11,0,false
0.9.0,calculateValue,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java,SubQ,2,1,0,0,0,0,1,0,37,2,4,0,false
0.9.0,rollback,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/JDBCEventConnectionDecorator.java,JDBCEventConnectionDecorator$EventConnection,9,1,1,0,1,0,0,2,0,1,5,0,false
0.9.0,afterCreateStatement,openjpa-lib/src/main/java/org/apache/openjpa/lib/jdbc/AbstractJDBCListener.java,AbstractJDBCListener,3,1,0,0,0,0,0,1,0,1,4,0,false
0.9.6,classForName,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/XMLPersistenceMetaDataParser.java,XMLPersistenceMetaDataParser,4,2,0,0,0,2,13,1,185,3,12,0,false
0.9.0,storeByteField,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,StateManagerImpl,12,1,0,0,1,0,3,8,45,3,13,0,false
0.9.6,defaultTypeStrategy,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,MappingRepository,49,39,11,0,0,12,1,17,168,2,9,4,false
0.9.0,getIntegrityViolation,openjpa-kernel/src/main/java/org/apache/openjpa/util/ReferentialIntegrityException.java,ReferentialIntegrityException,3,1,0,0,0,1,0,0,45,1,4,0,false
0.9.0,findClassMapping,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingInfo.java,MappingInfo,5,3,0,0,0,2,3,2,37,1,3,0,false
